VideoID,PublishDate,VideoType,ContentTopic,Impressions,ClickThroughRate_Pct,Views,AverageViewDuration_Sec,WatchTime_Hours,Likes,Comments,Shares,EngagementRate_Pct,EstimatedRevenue_INR
VID-6127722,09-08-2024,Short,Transfer Market,339137,32.42,109948,41,1252.19,3567,105,1270,4.49,2293.26
VID-9260293,10-08-2024,Short,Transfer Market,156189,34.57,53994,41,614.93,2986,82,639,6.87,2627.91
VID-5233574,11-08-2024,Short,Managerial Tactics,235750,50.13,118181,28,919.19,3278,157,902,3.67,1526.65
VID-2783762,11-08-2024,Short,Goalkeeper Analysis,400349,59.14,236766,42,2762.27,15227,486,1660,7.34,7257.22
VID-9831678,11-08-2024,Long-Form Video,Goalkeeper Analysis,74083,3.76,2785,371,287.01,228,16,29,9.8,1061.34
VID-6736866,14-08-2024,Long-Form Video,Tactical Breakdown,106468,5.32,5664,419,659.23,226,20,105,6.2,942.39
VID-9745990,15-08-2024,Short,Transfer Market,347719,71.19,247541,30,2062.84,15853,501,1370,7.16,8157.12
VID-3602425,15-08-2024,Short,Managerial Tactics,193300,42.78,82693,30,689.11,4243,56,451,5.74,2896.84
VID-7277896,15-08-2024,Short,Match Preview,427476,52.1,222714,33,2041.55,10227,239,1805,5.51,8876.88
VID-8371775,15-08-2024,Short,Tactical Breakdown,239639,30.72,73617,31,633.92,1923,92,526,3.45,3111.39
VID-8377730,16-08-2024,Short,Tactical Breakdown,84529,69.68,58899,39,638.07,1459,62,492,3.42,1232.29
VID-1561825,17-08-2024,Short,Tactical Breakdown,51410,48.16,24759,23,158.18,1675,46,431,8.69,524.88
VID-8170224,17-08-2024,Short,Goalkeeper Analysis,220325,69.08,152200,16,676.44,7783,228,2401,6.84,6170.25
VID-7293112,17-08-2024,Long-Form Video,Tactical Breakdown,117848,9.13,10759,536,1601.9,438,24,121,5.42,4073.72
VID-3647939,18-08-2024,Long-Form Video,Data Engineering in Sports,33187,9.84,3265,512,464.36,251,23,45,9.77,1375.13
VID-4971167,19-08-2024,Long-Form Video,Goalkeeper Analysis,37934,10.43,3956,515,565.93,182,26,145,8.92,1115.26
VID-3617377,19-08-2024,Short,Managerial Tactics,363994,48.55,176719,49,2405.34,5530,214,3368,5.16,5622.8
VID-9095155,20-08-2024,Long-Form Video,Transfer Market,98541,10.54,10386,397,1145.35,798,40,169,9.7,3671.43
VID-9455225,22-08-2024,Short,Transfer Market,85380,48.54,41443,20,230.24,3132,46,209,8.17,516.64
VID-9229980,22-08-2024,Long-Form Video,Match Preview,44844,10.66,4780,248,329.29,437,55,137,13.16,2083.46
VID-8183501,22-08-2024,Short,Managerial Tactics,343653,48.03,165056,15,687.73,8690,410,1448,6.39,2531.74
VID-3150260,24-08-2024,Long-Form Video,Transfer Market,75085,7.96,5976,392,650.72,465,66,215,12.48,1511.9
VID-7296143,24-08-2024,Short,Goalkeeper Analysis,92940,49.7,46191,42,538.89,3290,89,788,9.02,2302.41
VID-9273928,25-08-2024,Long-Form Video,Transfer Market,110542,7.69,8500,365,861.81,782,50,92,10.87,2809.36
VID-6662293,25-08-2024,Long-Form Video,Data Engineering in Sports,49613,3.39,1681,357,166.7,84,12,44,8.33,668.76
VID-5419561,25-08-2024,Long-Form Video,Goalkeeper Analysis,31898,8.83,2816,485,379.38,235,30,60,11.54,739.43
VID-2513716,25-08-2024,Short,Match Preview,25384,62.14,15773,19,83.25,1008,38,307,8.58,682.63
VID-2155461,26-08-2024,Live Stream,Data Engineering in Sports,40511,5.52,2236,1528,949.06,169,37,14,9.84,4080.87
VID-5192473,27-08-2024,Short,Goalkeeper Analysis,138021,60.01,82826,52,1196.38,3987,61,1505,6.7,2246.6
VID-3918366,27-08-2024,Short,Transfer Market,119789,66.98,80234,43,958.35,3298,43,951,5.35,2255.6
VID-4667937,28-08-2024,Short,Match Preview,200525,66.65,133649,26,965.24,9993,149,2457,9.43,3614.87
VID-3561125,28-08-2024,Short,Match Preview,446273,41.13,183552,33,1682.56,3785,70,2406,3.41,3438.21
VID-2550444,29-08-2024,Long-Form Video,Data Engineering in Sports,58958,10.67,6290,433,756.55,596,71,190,13.62,1672.59
VID-5163404,29-08-2024,Short,Tactical Breakdown,411760,40.7,167586,35,1629.31,4073,146,1103,3.18,6236.64
VID-9220022,29-08-2024,Short,Data Engineering in Sports,174070,52.21,90881,18,454.4,5876,243,1562,8.45,1006.89
VID-7801098,29-08-2024,Short,Transfer Market,89425,49.58,44336,17,209.36,2465,113,490,6.92,1183.12
VID-5765420,30-08-2024,Short,Transfer Market,347168,44.32,153864,18,769.32,9674,104,1548,7.36,1581.36
VID-5784937,30-08-2024,Short,Tactical Breakdown,118888,43.09,51228,24,341.52,2179,74,541,5.45,1909.35
VID-7098995,31-08-2024,Long-Form Video,Transfer Market,41530,8.83,3667,303,308.64,361,47,138,14.89,893.45
VID-6153980,31-08-2024,Short,Transfer Market,162478,30.93,50254,50,697.97,3349,163,388,7.76,1441.55
VID-8600962,01-09-2024,Short,Match Preview,152647,74.95,114408,50,1589,2600,49,2220,4.26,3230.8
VID-8186256,01-09-2024,Long-Form Video,Data Engineering in Sports,65718,11.17,7340,548,1117.31,681,75,111,11.81,2848.76
VID-1340700,01-09-2024,Long-Form Video,Managerial Tactics,92654,8.23,7625,336,711.67,371,49,165,7.67,1772.16
VID-5475451,01-09-2024,Long-Form Video,Transfer Market,85044,6.29,5349,350,520.04,245,22,165,8.08,870.49
VID-8790445,01-09-2024,Short,Data Engineering in Sports,486782,30.46,148273,27,1112.05,10785,265,790,7.99,2991.36
VID-2276350,02-09-2024,Short,Data Engineering in Sports,102131,61.71,63025,17,297.62,2155,36,1020,5.09,1599.91
VID-6019484,02-09-2024,Short,Data Engineering in Sports,219235,69.01,151294,34,1428.89,11110,381,902,8.19,1693.76
VID-4930636,03-09-2024,Live Stream,Managerial Tactics,32922,2.22,730,3597,729.39,69,7,11,11.92,447.98
VID-4868977,04-09-2024,Short,Tactical Breakdown,259063,65.6,169945,55,2596.38,10148,258,2551,7.62,3466.58
VID-3956912,05-09-2024,Short,Managerial Tactics,64498,40.26,25966,36,259.66,569,20,260,3.27,1201.62
VID-6770686,06-09-2024,Short,Data Engineering in Sports,97920,71.16,69679,45,870.99,5134,97,931,8.84,3459.03
VID-5776400,06-09-2024,Long-Form Video,Transfer Market,144894,5.53,8012,221,491.85,268,16,109,4.91,1500.64
VID-7972065,06-09-2024,Short,Data Engineering in Sports,347276,68.55,238057,44,2909.59,14418,334,2622,7.3,9120.42
VID-4799575,06-09-2024,Long-Form Video,Match Preview,17157,4.69,804,539,120.38,30,4,20,6.72,255.59
VID-8214197,07-09-2024,Long-Form Video,Goalkeeper Analysis,76013,4.5,3420,185,175.75,155,20,133,9.01,930.22
VID-8906297,08-09-2024,Long-Form Video,Transfer Market,101467,8.55,8675,504,1214.5,590,70,274,10.77,1686.09
VID-7347428,08-09-2024,Short,Goalkeeper Analysis,258939,70.64,182914,53,2692.9,8376,364,3525,6.71,7026.4
VID-3658728,08-09-2024,Long-Form Video,Match Preview,47930,8.33,3992,324,359.28,383,24,57,11.62,1564.17
VID-1502244,08-09-2024,Long-Form Video,Managerial Tactics,86933,4.84,4207,303,354.09,374,28,49,10.72,1039.34
VID-1580183,09-09-2024,Short,Data Engineering in Sports,139989,33.33,46658,27,349.94,2825,50,541,7.32,1924.49
VID-8309804,09-09-2024,Long-Form Video,Managerial Tactics,13684,2.63,359,356,35.5,20,1,3,6.69,111.91
VID-6043361,09-09-2024,Long-Form Video,Match Preview,86656,8.39,7270,352,710.84,523,75,172,10.59,2595.92
VID-4164244,10-09-2024,Short,Data Engineering in Sports,373339,67.35,251443,52,3631.95,17168,235,3499,8.31,6580.68
VID-6838317,11-09-2024,Short,Match Preview,425778,74.67,317928,52,4592.29,17549,339,2729,6.48,13406.98
VID-2883606,11-09-2024,Long-Form Video,Goalkeeper Analysis,28760,7.87,2263,508,319.33,113,6,27,6.45,837.76
VID-7454552,12-09-2024,Long-Form Video,Tactical Breakdown,144651,3.53,5106,470,666.62,491,43,161,13.61,1267.56
VID-1750508,13-09-2024,Short,Match Preview,388134,57.27,222284,34,2099.35,12897,505,4353,7.99,6851.58
VID-8568424,13-09-2024,Short,Managerial Tactics,224367,50.22,112677,45,1408.46,5070,123,596,5.14,1175.87
VID-9494178,13-09-2024,Short,Managerial Tactics,327683,68.95,225937,47,2949.73,5895,149,2409,3.74,10313.08
VID-2530778,13-09-2024,Short,Managerial Tactics,114653,40.09,45964,22,280.89,2296,74,808,6.91,682.01
VID-6899084,14-09-2024,Long-Form Video,Transfer Market,19159,9.94,1904,559,295.65,67,3,61,6.88,820.17
VID-5677401,15-09-2024,Short,Goalkeeper Analysis,130161,52.97,68946,55,1053.34,1444,25,1239,3.93,799.92
VID-3621365,15-09-2024,Long-Form Video,Goalkeeper Analysis,67768,7.72,5231,588,854.4,435,53,143,12.06,1721.8
VID-5741807,15-09-2024,Short,Match Preview,81338,43.69,35536,54,533.04,1418,43,410,5.27,723.93
VID-5602717,16-09-2024,Short,Transfer Market,27398,43.15,11822,36,118.22,943,18,172,9.58,517.95
VID-9675066,17-09-2024,Short,Tactical Breakdown,493492,44.32,218715,27,1640.36,7548,81,3758,5.21,3296.6
VID-9688759,17-09-2024,Live Stream,Tactical Breakdown,13527,4.5,608,1289,217.7,35,5,10,8.22,1038.68
VID-1306808,19-09-2024,Short,Transfer Market,434571,59.27,257570,16,1144.76,5880,233,4908,4.28,3659.18
VID-2864094,19-09-2024,Short,Data Engineering in Sports,170995,30.87,52786,17,249.27,3040,58,522,6.86,533.35
VID-2115808,20-09-2024,Short,Match Preview,88391,43.91,38812,39,420.46,2521,54,583,8.14,1207.02
VID-6590995,21-09-2024,Short,Managerial Tactics,404537,50.17,202956,16,902.03,13035,595,1564,7.49,7716.93
VID-9073730,22-09-2024,Long-Form Video,Goalkeeper Analysis,61386,6.7,4112,422,482.02,349,26,54,10.43,943.46
VID-1441120,22-09-2024,Short,Match Preview,95821,54.18,51915,28,403.78,4136,155,336,8.91,2108.97
VID-4900303,22-09-2024,Short,Managerial Tactics,370675,49.2,182372,36,1823.72,10296,175,1383,6.5,2555.14
VID-5731892,22-09-2024,Short,Tactical Breakdown,41990,32.11,13482,32,119.84,778,29,221,7.62,362.35
VID-5215945,22-09-2024,Long-Form Video,Match Preview,38089,8.57,3264,391,354.51,284,39,33,10.91,1290.33
VID-4807104,23-09-2024,Long-Form Video,Tactical Breakdown,76693,3.4,2607,385,278.8,164,8,55,8.71,780.07
VID-1698270,23-09-2024,Long-Form Video,Goalkeeper Analysis,43879,5.26,2308,478,306.45,83,11,50,6.24,448.02
VID-1605117,25-09-2024,Short,Tactical Breakdown,183930,45.55,83780,18,418.9,4603,78,454,6.13,2787.97
VID-7174469,25-09-2024,Long-Form Video,Match Preview,74021,3.77,2790,447,346.43,107,12,55,6.24,657.73
VID-6877022,26-09-2024,Short,Managerial Tactics,466601,52.17,243425,44,2975.19,15535,301,1295,7.04,9980.34
VID-9431060,27-09-2024,Short,Data Engineering in Sports,497609,35.64,177347,50,2463.15,9066,299,2430,6.65,7178.63
VID-8672924,27-09-2024,Long-Form Video,Data Engineering in Sports,106314,7.43,7899,283,620.95,265,26,109,5.06,1205.27
VID-2500878,28-09-2024,Short,Match Preview,303863,33.9,103009,50,1430.68,7731,218,1767,9.43,1148.47
VID-6454702,29-09-2024,Long-Form Video,Data Engineering in Sports,63751,8.74,5571,463,716.49,467,26,180,12.08,1061.19
VID-1036355,01-10-2024,Short,Goalkeeper Analysis,199912,41.56,83083,54,1246.24,5638,183,572,7.69,2878.95
VID-5149350,02-10-2024,Long-Form Video,Data Engineering in Sports,90671,3.29,2983,517,428.39,182,10,33,7.54,1251.2
VID-5813044,02-10-2024,Short,Tactical Breakdown,17447,42.58,7428,45,92.85,278,7,109,5.3,358.76
VID-9581012,05-10-2024,Short,Match Preview,113479,40.88,46390,32,412.36,3379,131,656,8.98,646.38
VID-1248896,05-10-2024,Long-Form Video,Data Engineering in Sports,133829,3.89,5205,317,458.33,265,34,158,8.78,1839.04
VID-7604427,06-10-2024,Live Stream,Match Preview,46946,6.73,3159,1140,1000.35,349,38,46,13.71,3448.98
VID-8252824,07-10-2024,Short,Match Preview,73562,59.32,43636,49,593.93,1421,36,481,4.44,717.62
VID-3537182,07-10-2024,Long-Form Video,Data Engineering in Sports,108966,8.48,9240,238,610.87,623,36,159,8.85,3070.51
VID-3021972,07-10-2024,Short,Transfer Market,336807,39.52,133106,36,1331.06,9963,393,1335,8.78,6174.19
VID-5376427,07-10-2024,Long-Form Video,Managerial Tactics,111963,3.3,3694,463,475.09,140,18,120,7.53,1199.98
VID-3836956,08-10-2024,Short,Managerial Tactics,169819,64.78,110008,39,1191.75,7010,308,830,7.41,4817.03
VID-1010059,09-10-2024,Short,Managerial Tactics,173867,41.76,72606,51,1028.59,5300,159,1094,9.03,1457.39
VID-3968366,09-10-2024,Short,Goalkeeper Analysis,16336,71.02,11601,43,138.57,810,30,128,8.34,413.84
VID-9258538,12-10-2024,Short,Transfer Market,284651,39.21,111611,31,961.09,5201,85,2106,6.62,3578.54
VID-3500413,14-10-2024,Short,Managerial Tactics,442728,72.19,319605,21,1864.36,21233,478,2797,7.67,11897.52
VID-1579963,14-10-2024,Short,Data Engineering in Sports,280706,68.93,193490,23,1236.19,5553,212,3084,4.57,9180.64
VID-6209470,14-10-2024,Short,Managerial Tactics,64388,37.02,23836,20,132.42,1112,15,158,5.39,535.1
VID-8958749,15-10-2024,Long-Form Video,Transfer Market,35618,7.3,2600,298,215.22,194,13,95,11.62,1105.4
VID-1209896,16-10-2024,Long-Form Video,Managerial Tactics,146375,5.42,7933,377,830.76,740,54,146,11.85,1660.15
VID-6389686,16-10-2024,Long-Form Video,Goalkeeper Analysis,108617,10.29,11176,563,1747.8,829,86,443,12.15,4969.34
VID-7397925,17-10-2024,Short,Data Engineering in Sports,161205,69.62,112230,24,748.2,3378,81,774,3.77,2517.55
VID-8623232,17-10-2024,Short,Goalkeeper Analysis,431092,60.7,261672,23,1671.79,16555,565,4723,8.35,3368.59
VID-7475483,18-10-2024,Short,Data Engineering in Sports,192100,47.82,91862,34,867.59,5264,255,1560,7.71,2828.03
VID-8433339,19-10-2024,Short,Goalkeeper Analysis,118404,52.28,61901,47,808.15,2367,84,816,5.28,2077.39
VID-2335382,19-10-2024,Long-Form Video,Data Engineering in Sports,89199,5.79,5164,348,499.19,325,20,79,8.21,1593.24
VID-5959702,20-10-2024,Long-Form Video,Managerial Tactics,112709,11.79,13288,408,1505.97,1035,63,497,12,4257.51
VID-3623464,20-10-2024,Long-Form Video,Transfer Market,93502,11.17,10444,424,1230.07,442,42,225,6.79,2344.35
VID-4157378,21-10-2024,Long-Form Video,Managerial Tactics,99667,10.54,10504,449,1310.08,590,80,270,8.95,3458.29
VID-7159496,21-10-2024,Long-Form Video,Managerial Tactics,17325,10.65,1845,458,234.72,68,7,35,5.96,632.8
VID-7253382,21-10-2024,Short,Goalkeeper Analysis,324270,42.67,138366,25,960.88,10776,137,2177,9.46,4134.31
VID-1714280,22-10-2024,Short,Managerial Tactics,481743,37.07,178582,41,2033.85,11453,173,1119,7.14,5931.52
VID-1468750,22-10-2024,Short,Match Preview,309890,40.56,125691,19,663.37,9148,235,1018,8.28,1818.41
VID-5108497,23-10-2024,Short,Transfer Market,238778,38.99,93099,49,1267.18,2646,46,1432,4.43,2120.3
VID-6709353,23-10-2024,Short,Data Engineering in Sports,276947,47.8,132380,34,1250.26,3830,133,2516,4.89,3812.13
VID-2175801,24-10-2024,Short,Managerial Tactics,286504,45.66,130817,15,545.07,5144,88,1822,5.39,4428.11
VID-8551983,24-10-2024,Long-Form Video,Managerial Tactics,111247,6.58,7320,206,418.87,340,26,280,8.83,3021.2
VID-2444945,25-10-2024,Long-Form Video,Goalkeeper Analysis,36941,8.12,2999,182,151.62,130,10,42,6.07,1230.8
VID-5291651,27-10-2024,Long-Form Video,Transfer Market,104379,4.07,4248,404,476.72,324,18,74,9.79,1245.9
VID-3760517,28-10-2024,Short,Tactical Breakdown,352884,38.58,136142,47,1777.41,5300,62,2319,5.64,4348.38
VID-6523000,28-10-2024,Short,Managerial Tactics,278036,41.84,116330,41,1324.87,9166,425,1918,9.89,4465.74
VID-1471537,30-10-2024,Short,Match Preview,202820,67.07,136031,25,944.66,3430,104,1714,3.86,6028.62
VID-3619749,30-10-2024,Short,Match Preview,171965,54.86,94339,35,917.18,2853,102,732,3.91,3969.49
VID-4862783,31-10-2024,Short,Match Preview,276857,35.43,98090,29,790.17,5935,217,893,7.18,4766.57
VID-3169268,01-11-2024,Long-Form Video,Tactical Breakdown,116125,4.96,5759,349,558.3,455,42,204,12.17,1095.22
VID-2677011,01-11-2024,Short,Match Preview,361827,61.1,221076,34,2087.94,9621,197,3046,5.82,2389.05
VID-8710068,02-11-2024,Long-Form Video,Managerial Tactics,85359,3.63,3098,257,221.16,157,20,59,7.62,723.97
VID-2262643,02-11-2024,Short,Managerial Tactics,228803,53.33,122020,40,1355.78,4778,138,1625,5.36,4964.33
VID-5168869,03-11-2024,Long-Form Video,Data Engineering in Sports,6002,9.51,570,351,55.58,50,5,7,10.88,175.72
VID-9597123,03-11-2024,Short,Managerial Tactics,399255,67.02,267580,16,1189.24,15082,601,3722,7.25,3922.82
VID-7957981,03-11-2024,Short,Tactical Breakdown,408172,73.94,301802,36,3018.02,17192,371,5042,7.49,11566.78
VID-9510708,05-11-2024,Short,Match Preview,252739,40.56,102510,33,939.67,3709,49,1665,5.29,4911.96
VID-8509183,06-11-2024,Short,Match Preview,367689,69.14,254220,47,3318.98,9141,257,4762,5.57,10007.06
VID-3084889,06-11-2024,Long-Form Video,Tactical Breakdown,19534,7,1367,267,101.39,87,12,39,10.1,446.3
VID-3647668,07-11-2024,Short,Data Engineering in Sports,131217,50.1,65739,46,840,2459,121,1154,5.68,1612.16
VID-9156303,08-11-2024,Short,Managerial Tactics,306973,72.07,221235,47,2888.35,10979,205,1312,5.65,8892.88
VID-9408431,09-11-2024,Short,Managerial Tactics,410886,73.13,300480,55,4590.67,19636,772,2367,7.58,9572.32
VID-7728762,09-11-2024,Short,Goalkeeper Analysis,263748,58.5,154292,41,1757.21,8320,287,1905,6.81,3959.67
VID-3223775,09-11-2024,Short,Goalkeeper Analysis,262912,33.76,88759,40,986.21,2419,46,1768,4.77,3150.51
VID-8039794,09-11-2024,Live Stream,Match Preview,31372,6.33,1985,825,454.9,147,27,20,9.77,2638.7
VID-6841727,09-11-2024,Long-Form Video,Managerial Tactics,120453,10.71,12900,366,1311.5,398,44,454,6.95,5255.34
VID-2734775,09-11-2024,Short,Data Engineering in Sports,445826,35.4,157822,40,1753.58,11188,462,2273,8.82,4508.76
VID-1802253,10-11-2024,Short,Managerial Tactics,462721,63.28,292809,17,1382.71,18545,448,3328,7.62,8326.59
VID-5484806,10-11-2024,Short,Managerial Tactics,19718,40.25,7936,37,81.56,232,9,147,4.89,367.73
VID-4844348,11-11-2024,Short,Goalkeeper Analysis,173423,46.87,81283,39,880.57,5284,173,804,7.7,1030.89
VID-1554314,13-11-2024,Long-Form Video,Goalkeeper Analysis,85117,2.66,2264,462,290.55,141,9,29,7.91,392.09
VID-4266873,14-11-2024,Short,Transfer Market,491349,65.5,321833,43,3844.12,16182,605,2168,5.89,5393.35
VID-1799875,14-11-2024,Long-Form Video,Managerial Tactics,10794,5.17,558,395,61.23,42,2,16,10.75,183
VID-8292216,15-11-2024,Long-Form Video,Transfer Market,132552,9.35,12393,271,932.92,449,25,449,7.45,5521.12
VID-3137556,16-11-2024,Short,Transfer Market,22910,35.79,8199,44,100.21,373,14,138,6.4,301.09
VID-5206696,16-11-2024,Short,Tactical Breakdown,45659,61.03,27865,46,356.05,664,18,156,3.01,846.53
VID-1256155,17-11-2024,Long-Form Video,Match Preview,64815,10.24,6637,242,446.15,279,40,94,6.22,2971.96
VID-8465999,17-11-2024,Short,Transfer Market,70026,40.03,28031,40,311.46,699,24,329,3.75,1156.2
VID-7543444,17-11-2024,Long-Form Video,Match Preview,95752,8.35,7995,545,1210.35,436,60,88,7.3,2422.04
VID-6007163,18-11-2024,Live Stream,Tactical Breakdown,42307,7.29,3084,3380,2895.53,343,50,42,14.11,3904.93
VID-6533763,19-11-2024,Short,Data Engineering in Sports,250201,34.35,85944,32,763.95,6511,284,1196,9.3,3279.11
VID-3463518,20-11-2024,Short,Transfer Market,369456,72.79,268927,36,2689.27,16696,647,3730,7.84,8226.02
VID-4798766,20-11-2024,Short,Managerial Tactics,211610,73.91,156400,47,2041.89,5821,118,2534,5.42,7318.29
VID-2313085,21-11-2024,Short,Tactical Breakdown,375500,43.99,165182,39,1789.47,6821,270,2858,6.02,2440.24
